# SEGGER J-Link RTT Viewer V6.00e Terminal Log File
# Compiled: 09:38:54 on Aug  4 2016
# Logging started @ 19 Oct 2017 14:36:40
 0> UPPER: NUM:123, node:78 <--- 32, lc:15
 0> UPPER: NUM:124, node:78 <--- 89, lc:5
 0> UPPER: NUM:124, node:78 <--- 57, lc:5
 0> UPPER: NUM:124, node:78 <--- 32, lc:15
 0> UPPER: NUM:125, node:78 <--- 89, lc:5
 0> UPPER: NUM:125, node:78 <--- 57, lc:5
 0> UPPER: NUM:125, node:78 <--- 32, lc:15
 0> UPPER: NUM:126, node:78 <--- 89, lc:5
 0> UPPER: NUM:126, node:78 <--- 57, lc:5
 0> UPPER: NUM:126, node:78 <--- 32, lc:15
 0> UPPER: NUM:127, node:78 <--- 89, lc:5
 0> UPPER: NUM:127, node:78 <--- 93, lc:65
 0> UPPER: NUM:127, node:78 <--- 57, lc:5
 0> UPPER: NUM:127, node:78 <--- 32, lc:15
 0> UPPER: NUM:128, node:78 <--- 89, lc:5
 0> UPPER: NUM:128, node:78 <--- 57, lc:5
 0> UPPER: NUM:128, node:78 <--- 32, lc:15
 0> UPPER: NUM:129, node:78 <--- 89, lc:5
 0> UPPER: NUM:129, node:78 <--- 57, lc:5
 0> UPPER: NUM:129, node:78 <--- 32, lc:15
 0> UPPER: NUM:130, node:78 <--- 89, lc:5
 0> UPPER: NUM:130, node:78 <--- 93, lc:67
 0> UPPER: NUM:130, node:78 <--- 57, lc:5
 0> UPPER: NUM:130, node:78 <--- 32, lc:15
 0> UPPER: NUM:131, node:78 <--- 89, lc:5
 0> UPPER: NUM:131, node:78 <--- 93, lc:65
 0> UPPER: NUM:131, node:78 <--- 57, lc:5
 0> UPPER: NUM:131, node:78 <--- 32, lc:15
 0> UPPER: NUM:132, node:78 <--- 89, lc:5
 0> UPPER: NUM:132, node:78 <--- 57, lc:5
 0> UPPER: NUM:132, node:78 <--- 32, lc:15
 0> UPPER: NUM:133, node:78 <--- 89, lc:5
 0> UPPER: NUM:133, node:78 <--- 57, lc:5
 0> UPPER: NUM:133, node:78 <--- 32, lc:15
 0> UPPER: NUM:134, node:78 <--- 89, lc:5
 0> UPPER: NUM:134, node:78 <--- 57, lc:5
 0> UPPER: NUM:134, node:78 <--- 32, lc:15
 0> UPPER: NUM:135, node:78 <--- 89, lc:5
 0> UPPER: NUM:135, node:78 <--- 93, lc:66
 0> UPPER: NUM:135, node:78 <--- 57, lc:5
 0> UPPER: NUM:135, node:78 <--- 32, lc:15
 0> UPPER: NUM:136, node:78 <--- 89, lc:5
 0> UPPER: NUM:136, node:78 <--- 57, lc:5
 0> UPPER: NUM:136, node:78 <--- 32, lc:15
 0> UPPER: NUM:121, node:78 <--- 44, lc:80
 0> UPPER: NUM:137, node:78 <--- 89, lc:5
 0> UPPER: NUM:137, node:78 <--- 57, lc:5
 0> UPPER: NUM:137, node:78 <--- 32, lc:15
 0> UPPER: NUM:138, node:78 <--- 89, lc:5
 0> UPPER: NUM:138, node:78 <--- 57, lc:5
 0> UPPER: NUM:138, node:78 <--- 32, lc:15
 0> UPPER: NUM:139, node:78 <--- 89, lc:5
 0> UPPER: NUM:139, node:78 <--- 93, lc:68
 0> UPPER: NUM:139, node:78 <--- 57, lc:5
